Year,Cocoa,Coffee,Tea,Crude Oil,Coal,Natural Gas,Banana,Sugar,Orange,Barley,Maize,Sorghum,Rice,Wheat,Beef,Chicken,Lamb,Shrimps,Gold,Platinum,Silver,Cotton,Rubber,Tobacco,Coconut Oil,Groundnut Oil,Palm Oil,Soybean,Logs,Sawnwood
1979,3.29,3.83,1.51,30.96,30.89,1.18,0.33,0.21,0.4,65.25,115.52,108.11,313.07,160.29,2.88,0.74,2.37,11.97,306.67,442.8,11.1,1.71,1.26,2344.43,984.5,888.67,653.83,662.18,170.04,365.93
1980,2.6,3.47,1.66,36.87,40.14,1.59,0.38,0.63,0.4,78.23,125.26,128.86,410.74,172.73,2.76,0.76,2.88,10.14,607.86,679.1,20.8,2.06,1.42,2275.86,673.83,858.75,583.69,597.61,195.51,396.2
1981,2.08,2.87,1.47,35.48,53.62,1.98,0.4,0.37,0.41,79.73,130.78,126.37,458.99,174.96,2.47,0.77,2.74,10.16,459.75,447.48,10.52,1.87,1.12,2321.69,569.92,1042.75,570.67,506.85,154.56,349.41
1982,1.74,3.09,1.54,32.65,54.77,2.47,0.37,0.19,0.38,63.71,109.26,108.53,272.48,160.36,2.39,0.76,2.38,13.28,375.8,328.29,7.93,1.6,0.86,2563.96,464.42,584.92,445.08,447.25,146.45,339.38
1983,2.12,2.91,2.1,29.66,38.19,2.59,0.43,0.19,0.37,70.89,136.02,128.76,256.8,157.42,2.44,0.77,1.93,13.21,422.53,423.31,11.43,1.85,1.06,2656.55,729.88,710.92,501.43,526.88,137.71,328.14
1984,2.4,3.19,2.74,28.56,30.96,2.66,0.37,0.11,0.35,78.72,135.94,118.19,232.5,152.33,2.27,0.87,1.92,11.74,360.48,357.81,8.14,1.78,0.96,2786.32,1154.58,1016.67,728.83,724,156.76,351.64
1985,2.25,3.23,1.75,27.18,33.75,2.51,0.38,0.09,0.4,58.82,112.23,103.01,196.93,135.83,2.15,0.84,1.84,10.49,317.91,292.5,6.12,1.32,0.76,2611.82,590.17,904.92,500.58,572,121.73,307.13
1986,2.07,4.29,1.66,14.35,31.13,1.94,0.38,0.13,0.39,47.56,87.56,82.41,186.25,114.92,2.09,0.93,2.15,12.89,367.69,465.04,5.44,1.06,0.81,2659.18,296.5,569.42,257,342.42,138.58,329.34
1987,1.99,2.5,1.65,18.15,27.5,1.66,0.39,0.15,0.46,55,75.7,72.76,214.61,112.9,2.39,0.91,2.16,11.44,446.47,555.72,7.01,1.65,0.98,2745.55,442.25,499.75,342.58,334.25,201.77,401.3
1988,1.58,3.03,1.58,14.72,34.88,1.68,0.48,0.22,0.45,70.33,106.89,98.46,277.47,145.2,2.52,1,2.41,12.44,437.05,530.34,6.53,1.4,1.18,2467.9,564.83,590.33,437.17,463.42,200.86,402.33
1989,1.24,2.39,1.82,17.84,38,1.7,0.55,0.28,0.45,75.14,111.52,105.94,299.16,169.24,2.57,1.1,2.32,11.16,381.43,509.64,5.51,1.67,0.97,3167.57,516.83,774.75,350.42,431.5,190.59,485.28
1990,1.27,1.97,2.06,22.88,39.67,1.7,0.54,0.28,0.53,79.93,109.28,103.94,270.85,135.52,2.56,1.08,2.66,10.79,383.47,471.59,4.83,1.82,0.86,3392.19,336.5,963.67,289.75,447.33,177.19,533.08
1991,1.2,1.87,1.67,19.37,39.67,1.49,0.56,0.2,0.52,78.29,107.42,105.11,293.28,128.67,2.66,1.06,2.33,11.54,362.18,375.82,4.05,1.68,0.83,3500.07,433,894.83,339,453.83,191.48,552.52
1992,1.1,1.41,1.6,19.02,38.56,1.77,0.47,0.2,0.49,78.68,104.25,102.75,268.22,151.2,2.45,1.06,2.65,10.95,343.73,359.69,3.95,1.28,0.86,3439.54,577.58,609.92,393.5,428.92,209.51,607.22
1993,1.12,1.56,1.61,16.84,31.33,2.12,0.44,0.22,0.43,71.38,102.09,99.03,235.41,140.24,2.62,1.21,2.91,11.39,359.77,374.03,4.31,1.28,0.83,2695.34,450.25,739.08,377.75,480.42,389.81,758.25
1994,1.4,3.31,1.49,15.89,32.3,1.92,0.44,0.27,0.41,72.65,107.55,103.87,267.59,149.73,2.33,1.22,2.98,13.08,384.01,405.26,5.28,1.76,1.13,2641.66,607.5,1022.75,528.42,615.58,307.55,821.04
1995,1.43,3.33,1.49,17.18,39.37,1.72,0.45,0.29,0.53,104.01,123.49,118.97,320.96,176.98,1.87,1.22,2.62,13.54,384.16,424.34,5.2,2.13,1.58,2643.44,669.58,990.92,628.25,625.08,255.62,739.95
1996,1.46,2.69,1.66,20.42,38.07,2.73,0.47,0.26,0.49,119.67,165.81,150.03,338.88,207.6,1.75,1.37,3.29,13.12,387.7,397.11,5.2,1.77,1.39,3055.37,751.58,897.25,530.92,551.5,252.1,741.35
1997,1.62,4.17,2.06,19.17,35.1,2.48,0.52,0.25,0.46,97.24,117.09,109.62,303.51,159.48,1.85,1.34,3.39,14.76,331.1,394.92,4.91,1.75,1.02,3531.55,656.83,1010.42,545.83,564.75,238.25,664.53
1998,1.68,2.98,2.05,13.06,29.23,2.09,0.49,0.2,0.44,85.05,101.99,98.04,304.16,126.13,1.72,1.39,2.75,14.24,294.16,372.28,5.55,1.44,0.72,3336.12,657.92,909.42,671.08,625.92,162.43,484.15
1999,1.14,2.29,1.84,18.07,25.89,2.27,0.37,0.14,0.44,75.94,90.22,84.39,248.42,112.04,1.81,1.32,2.61,12.35,278.77,376.95,5.22,1.17,0.63,3041.18,737.08,832.84,436,426.47,187.11,600.82
2000,0.91,1.92,1.88,28.23,26.25,4.31,0.42,0.18,0.36,77.23,88.53,88,202.4,114.09,1.93,1.31,2.62,14.02,279.03,544.63,4.95,1.3,0.67,2976.21,450.33,756.76,310.25,338.14,189.95,594.7
2001,1.07,1.37,1.6,24.35,32.31,3.96,0.58,0.19,0.6,93.94,89.64,95.23,172.84,126.81,2.11,1.4,2.91,13.68,270.99,529.53,4.38,1.06,0.58,3004.62,318.08,759.23,287.46,353.24,159.05,481.35
2002,1.78,1.36,1.51,24.93,25.31,3.36,0.53,0.15,0.56,108.97,99.27,101.74,191.87,148.08,2.11,1.39,3.3,10.39,309.97,539.51,4.6,1.02,0.76,2744.47,421,719.43,410.9,461.71,163.41,526.81
2003,1.75,1.42,1.52,28.9,26.09,5.49,0.37,0.16,0.68,104.74,105.37,106.53,197.62,146.14,2.13,1.46,3.88,10.78,363.51,691.71,4.88,1.4,1.08,2646.1,467.33,1209.45,476.7,558.59,187.16,550.99
2004,1.55,1.77,1.69,37.73,52.95,5.89,0.52,0.16,0.86,98.99,111.8,109.78,237.67,156.88,2.67,1.67,4.6,10.12,409.21,845.35,6.66,1.37,1.28,2740.22,660.75,1291.63,499.28,618.23,197.26,581.29
2005,1.54,2.53,1.65,53.39,47.62,8.92,0.6,0.22,0.87,95.08,98.67,96.22,286.27,152.35,2.73,1.63,4.44,9.71,444.84,896.53,7.31,1.22,1.49,2789.65,616.98,1170.98,450.56,544.59,203.12,659.38
2006,1.59,2.52,1.87,64.29,49.09,6.72,0.68,0.33,0.83,116.62,121.85,122.94,304.88,192.04,2.65,1.53,4.04,9.6,604.34,1140.78,11.56,1.27,2.08,2969.2,606.91,1019.48,508.3,599.34,239.43,749.34
2007,1.95,2.72,2.04,71.12,65.73,6.98,0.68,0.22,0.96,172.38,163.66,162.69,326.43,255.21,2.7,1.72,4.12,9.68,696.72,1304.94,13.39,1.4,2.26,3315.06,918.88,1375.14,816.69,886.06,267.98,806.3
2008,2.58,3.08,2.42,96.99,127.1,8.86,0.84,0.28,1.11,200.52,223.12,207.83,650.19,326.03,3.24,1.87,4.59,10.51,871.71,1574.5,15,1.57,2.59,3588.74,1224,2144.74,1042.92,1260.81,292.3,889.09
2009,2.89,3.17,2.72,61.76,71.84,3.95,0.85,0.4,0.91,128.32,165.51,151.05,554.99,224.07,2.73,1.89,4.28,8.92,972.97,1203.4,14.64,1.38,1.92,4235.2,725.38,1352.6,741.15,853.07,287.2,805.52
2010,3.13,4.32,2.88,79.04,98.97,4.39,0.87,0.47,1.03,158.39,185.91,165.4,488.91,223.58,3.42,1.89,5.95,10.64,1224.66,1609.75,20.15,2.28,3.65,4333.23,1123.58,1400.99,933.02,1000.86,278.17,848.27
2011,2.98,5.98,2.92,104.01,121.45,4,0.97,0.57,0.89,207.2,291.68,268.75,543.03,316.26,4.08,1.93,9.53,12.11,1569.21,1719.48,35.22,3.33,4.82,4485.05,1730.08,1866.09,1193.37,1297.66,390.51,939.45
2012,2.39,4.11,2.9,105.01,96.36,2.75,0.98,0.47,0.87,240.28,298.42,271.93,562.98,313.24,4.21,2.08,8.55,11.46,1669.52,1550.84,31.14,1.97,3.38,4302.35,1110.83,2359.06,1043.4,1225.6,360.51,876.34
2013,2.44,3.08,2.86,104.08,84.56,3.72,0.92,0.39,0.97,203.01,259.39,243.28,505.89,312.25,4.13,2.17,6.93,14.17,1411.46,1486.55,23.85,1.99,2.79,4588.82,939.47,1820.62,870.73,1055.39,305.43,852.8
2014,3.06,4.42,2.72,96.24,70.13,4.37,0.93,0.37,0.78,145.9,192.88,210.39,422.83,284.89,5.05,2.32,7.99,17.79,1265.58,1383.57,19.07,1.83,1.95,4990.77,1281.12,1394.99,837.47,905.97,282.04,897.94
2015,3.14,3.53,2.78,50.75,58.94,2.61,0.96,0.3,0.68,121.33,169.75,201.63,386,204.45,4.56,1.99,7.5,13.22,1160.66,1053.2,15.72,1.55,1.57,4908.3,1103.51,1377.96,663.39,755.63,246.02,833.25
2016,2.89,3.61,2.68,42.81,66.12,2.49,1,0.4,0.89,103.92,159.16,155.59,396.17,166.63,4.06,1.85,7.31,11.22,1248.99,987.09,17.15,1.64,1.61,4790.5,1481.78,1380.63,735.7,814.99,274.38,738.88
2017,2.03,3.32,3.15,52.81,88.52,2.96,1.08,0.35,0.81,97.64,154.53,163.02,398.92,174.2,4.39,2.12,8.25,13.32,1257.56,948.45,17.07,1.84,2,4627.36,1650.65,1460.79,750.81,850.4,265.43,702.11
2018,2.29,2.93,2.85,68.35,107.02,3.16,1.15,0.28,0.79,125.89,164.41,168.59,420.67,209.93,4.2,2.24,7.85,12.24,1269.23,879.55,15.71,2.01,1.57,4865.96,996.77,1446.05,638.66,789.12,269.7,727.94
2019,2.34,2.88,2.56,61.41,77.89,2.57,1.14,0.28,0.56,128.07,170.07,161.51,418,201.69,4.76,2,8.1,12.6,1392.5,863.99,16.22,1.72,1.64,4579.36,735.65,1407.37,601.37,765.44,273.1,695.89
2020,2.37,3.32,2.7,41.26,60.79,2.01,1.22,0.28,0.6,97.6,165.47,171.57,496.75,231.57,4.67,1.63,7.83,12.67,1770.25,883.39,20.54,1.59,1.73,4336.28,1010.4,1697.81,751.77,837.76,278.94,699.71
2021,2.43,4.51,2.69,69.07,138.05,3.85,1.21,0.39,0.65,,259.55,,458.25,315.24,5.39,2.26,11.55,13.7,1799.63,1091.13,25.16,2.23,2.07,4154.74,1636.31,2075.09,1130.58,1385.41,271.35,749.95
